id;adresse;ville;codePostal
7254;203a ruea de lourmel;;75015
8584;route de la grande cascade, 75016 paris;;75016
7257;5a ruea parrot;;75012
8589;32 rue jean de la fontaine, 75016 paris;;75016
7256;ruea des vignes;;75016
7259;ruea pierre mouillard;;75020
8587;13 rue beaurepaire, 75010 paris;;75010
7258;pont des arts, 75001 paris;;75001
8588;67 rue de lancry, 75010 paris;;75010
280;avenuea de varsovie;;75016
281;ruea de dunkerque;;75009
282;ruea de senlis;;75017
8581;88b avenue kleber, 75116 paris;;75116
283;ruea saint dominique;;75007
8582;18 rue guersant, 75017 paris;;75017
284;3/5a placea casadesus;;75018
7251;15a ruea poliveau;;75015
285;ruea abel gance;;75013
7250;quai andre citroen, 75015 paris;;75015
8580;avenue daumesnil, 75012 paris;;75012
286;ruea robineau;;75020
287;terre pleina angle av st maurice et av daumesnil;;75012
288;46a ruea saint louis en l'ile;;75004
289;12a ruea de jouy;;75004
7249;place de la concorde, 75008 paris;;75008
7264;59 rue claude decaen, 75012 paris;;75012
8596;39 avenue marceau, 75116 paris;;75116
7263;ruea edouard colonna;;75001
8597;rue de madrid, 75008 paris;;75008
7266;24a ruea rene boulanger;;75010
8594;rue du jour, 75001 paris;;75001
7265;pelousea naumachie;;75017
8595;pont de la tournelle, 75005 paris;;75005
7268;ruea de douai;;75009
7267;1 place de l'estrapade, 75005 paris;;75005
8598;rue du cardinal dubois, 75018 paris;;75018
7269;terre pleina central boulevard de clichy;;75009
8599;39 rue saint-ambroise, 75011 paris;;75011
290;8 place du trocadero et du onze novembre, 75116 paris;;75116
291;50 avenue montaigne, 75008 paris;;75008
292;avenue kleber, 75116 paris;;75116
293;pont louis-philippe, 75004 paris;;75004
7260;53a ruea vieille du temple;;75004
8592;6 avenue theodore rousseau, 75016 paris;;75016
294;83 avenue kleber, 75116 paris;;75116
8593;rue du commandant schloesing, 75116 paris;;75116
295;33 avenue de l'opera, 75002 paris;;75002
7262;55a ruea des francs bourgeois/cmp;;75004
8590;1 rue crespin du gast, 75011 paris;;75011
296;22 avenue des champs elysees, 75008 paris;;75008
7261;70 rue des rigoles, 75020 paris;;75020
8591;5 rue planchat, 75020 paris;;75020
297;quai du lot, 75019 paris;;75019
298;5 rue de la corderie, 75003 paris;;75003
299;2 rue scribe, 75009 paris;;75009
7275;citea trevise;;75009
7274;83 avenue kleber, 75116 paris;;75116
7277;place du trocadero et du onze novembre, 75116 paris;;75116
7276;114 quai de jemmapes, 75010 paris;;75010
7279;112 rue amelot, 75011 paris;;75011
7278;67/69a ruea jean baptiste pigalle/saf de paris;;75009
7271;avenue joseph bouvard, 75007 paris;;75007
7270;6 place saint-germain des pres, 75006 paris;;75006
7273;place d'anvers, 75009 paris;;75009
7272;avenuea du general floquet;;75007
7286;209a ruea de belleville;;75019
7285;24 rue de belleville, 75020 paris;;75020
7288;22 rue du maine, 75014 paris;;75014
7287;placea casadesus;;75018
7289;92a ruea d'assas;;75006
7280;252 rue de la convention, 75015 paris;;75015
7282;impasse de la mare, 75020 paris;;75020
7281;ruea galande;;75005
7284;131a ruea michel ange/le palais du bonheur;;75016
7283;4a boulevarda du palais/palais de justice;;75001
7297;19 rue des grands augustins, 75006 paris;;75006
7296;sentiera de la pointe;;75020
7299;236a boulevarda saint germain;;75007
7298;rue jean dunand, 75013 paris;;75013
7291;91 rue barrault, 75013 paris;;75013
7290;boulevarda du palais;;75001
7293;7a ruea des chantiers;;75005
7292;14 rue bonaparte, 75006 paris;;75006
7295;rue jean dunand, 75013 paris;;75013
7294;place de la porte de pantin, 75019 paris;;75019
3704;rue de la tremoille, 75008 paris;;75008
3705;33 boulevard garibaldi, 75015 paris;;75015
3706;place de la concorde, 75008 paris;;75008
3707;ponta du metro stalignrad (sous le pont);;75019
3708;avenue du general san martin, 75019 paris;;75019
3709;45b rue du faubourg du temple, 75010 paris;;75010
3700;6 rue de montpensier, 75001 paris;;75001
3701;quai de la rapee, 75012 paris;;75012
3702;1 avenue de la porte de clignancourt, 75018 paris;;75018
3703;8 rue pixerecourt, 75020 paris;;75020
3715;rue sorbier, 75020 paris;;75020
3716;place d'aligre, 75012 paris;;75012
3717;ruea maurice utrillo;;75018
3718;15 rue stephane grappelli, 75017 paris;;75017
3719;place dalida, 75018 paris;;75018
