id;titre;annee;genre;auteur;lieu;note
8631;la premiere seance;;;1573;8631;-1.0
8626;l'art du crime saison 2;;;1542;8626;-1.0
8627;mon inconnue;1984;15;0;8627;-1.0
7779;la faute a rousseau;2021;7;575;7779;6.4
8628;engrenages s7.4;;;0;8628;-1.0
8629;dix pour cent saison 3;;;5;8629;-1.0
7794;je voudrais que quelqu'un m'attende quelque part;;;0;7794;-1.0
8644;play;2011;1;1401;8644;7.1
8645;trop d'amour;2020;7;1664;8645;-1.0
7311;le code;2021;1;0;7311;-1.0
6464;fugueuse - semaine 10 sur 12;;;0;6464;-1.0
8642;vernon subutex;2019;11;165;8642;6.7
7798;ma mere est folle;;;51;7798;-1.0
8637;munch saison 2;;;0;8637;-1.0
8635;un avion sans elle;;;745;8635;-1.0
5128;loulou;1980;1;1673;5128;6.8
8636;mon bebe;;;1488;8636;-1.0
8651;les mignonnes;;;134;8651;-1.0
8652;balthazar 6;;;0;8652;-1.0
8650;allan kardec;2020;14;359;8650;-1.0
6476;merveilles a montfermeil;;;274;6476;-1.0
4297;tournage serie web;;;0;4297;-1.0
8656;the eddy;2020;1;313;8656;7.2
7322;3 fois noel;;;0;7322;-1.0
7324;la nuit venue;;;548;7324;-1.0
6477;sid lee - salomon;;;486;6477;-1.0
8648;can't buy me love;1987;7;1644;8648;6.8
8649;engrenages saison 7;;;3;8649;-1.0
8646;quand on crie au loup;2019;7;1013;8646;3.8
8663;30 jours max;2020;10;0;8663;5.0
7332;koto;1980;1;527;7332;6.7
8660;le talisman;2020;7;1421;8660;-1.0
8666;355;2022;10;778;8666;-1.0
8667;hanna 2;;;967;8667;-1.0
6486;smiley;2012;12;0;6486;3.4
7336;un conte indien;;;1019;7336;-1.0
8664;paris police 1900;2021;11;48;8664;7.0
8665;the hunting;2019;1;809;8665;7.2
7335;le dechanche d'elvis;;;298;7335;-1.0
7327;l'etreinte;1993;15;840;7327;-1.0
8659;irresponsable saison 3;;;1500;8659;-1.0
5149;9 meufs;;;980;5149;-1.0
8658;les amis des amis;;;348;8658;-1.0
8673;engrenages saison 8;;;0;8673;-1.0
8674;maoussi;;;1041;8674;-1.0
8671;le dindon;2019;7;1713;8671;4.7
6496;uman;1998;15;1353;6496;-1.0
8672;sam saison 4;;;140;8672;-1.0
6014;ladies;2008;7;508;6014;5.4
8678;la sainte famille;2017;7;902;8678;6.3
8675;anak garuda;2020;0;1184;8675;8.7
8676;a d n;;;978;8676;-1.0
6492;amazon tennis - paris masters 2019;;;1231;6492;-1.0
6007;anna m.;2007;1;0;6007;6.7
5159;dear diary;1993;8;1765;5159;7.3
7352;a perfect enemy;2020;10;678;7352;5.7
8684;le bureau des legendes;;;1800;8684;-1.0
8682;la garconne;2020;11;1546;8682;6.8
8688;arthur rambo;2018;15;869;8688;8.1
7355;simone - le voyage du siecle;2021;8;121;7355;-1.0
8686;emily in paris;2020;7;729;8686;7.0
8202;les hommes de namsan;;;1300;8202;-1.0
8687;par-dessus l'epaule de jonas;;;626;8687;-1.0
8203;balthazar;2018;11;0;8203;7.6
7363;astrid;2012;15;836;7363;6.0
8211;voir le jour;2017;15;492;8211;4.8
45;chroniques parisiennes 12;;;0;45;-1.0
8212;une vie violente;;;279;8212;-1.0
8693;the affair;2019;1;743;8693;7.9
8213;la verite si je mens les debuts;;;155;8213;-1.0
390;paula;2017;1;0;390;6.3
7360;sam saison 3;;;1055;7360;-1.0
8223;parent d'eleve;;;106;8223;-1.0
8220;les promesses;1995;15;181;8220;-1.0
