key_lieu;id_lieu;adresse_lieu;ardt_lieu;coord_x;coord_y;geo_shape;geo_point_2d
4307;2018-1112;rue barrelet de ricou, 75019 paris;75019;2.3780909;48.87709;"{""type"": ""Point"", ""coordinates"": [2.378090853547846, 48.877090347572114]}";48.8770903476,2.37809085355
4308;2016-1044;51  rue  de belleville;75019;2.381093;48.87318;"{""type"": ""Point"", ""coordinates"": [2.381093000555233, 48.87317900001818]}";48.873179,2.38109300056
4309;2019-700;route de la muette a neuilly, 75116 paris;75116;2.2654214;48.868507;"{""type"": ""Point"", ""coordinates"": [2.265421450819014, 48.86850803583523]}";48.8685080358,2.26542145082
4310;2016-1883;8  rue  pixerecourt;75020;2.395986;48.87252;"{""type"": ""Point"", ""coordinates"": [2.395986000411371, 48.87251900014165]}";48.8725190001,2.39598600041
4311;2017-611;quai de gesvres, 75004 paris;75004;2.3489258;48.856716;"{""type"": ""Point"", ""coordinates"": [2.34892579172995, 48.856717883437746]}";48.8567178834,2.34892579173
4312;2016-816;pont  neuf;75001;2.344139;48.860317;"{""type"": ""Point"", ""coordinates"": [2.344139000660152, 48.860317000149195]}";48.8603170001,2.34413900066
4313;2018-1124;1 rue abel, 75012 paris;75012;2.3743703;48.846176;"{""type"": ""Point"", ""coordinates"": [2.374370399068059, 48.84617776685968]}";48.8461777669,2.37437039907
4314;2016-1050;place  des grandes rigoles;75020;2.389933;48.873627;"{""type"": ""Point"", ""coordinates"": [2.389933000221563, 48.87362499996572]}";48.873625,2.38993300022
4315;2019-1046;1 rue le sueur, 75116 paris;75116;2.2878335;48.873684;"{""type"": ""Point"", ""coordinates"": [2.287833448736682, 48.87368581296793]}";48.873685813,2.28783344874
4316;2016-1899;rue  jolivet;75014;2.323854;48.840874;"{""type"": ""Point"", ""coordinates"": [2.323854000168884, 48.84087399990998]}";48.8408739999,2.32385400017
4317;2017-480;rue saint-blaise, 75020 paris;75020;2.4058871;48.858883;"{""type"": ""Point"", ""coordinates"": [2.405887202028543, 48.85888206247787]}";48.8588820625,2.40588720203
4318;2016-822;45  rue  caumartin;75009;2.328241;48.872974;"{""type"": ""Point"", ""coordinates"": [2.328241000673458, 48.87297399993257]}";48.8729739999,2.32824100067
4319;2018-1136;place du trocadero et du onze novembre, 75116 paris;75116;2.2869318;48.863415;"{""type"": ""Point"", ""coordinates"": [2.28693166608925, 48.86341511691408]}";48.8634151169,2.28693166609
4320;2016-1075;55  boulevard  rochechouart;75009;2.340934;48.882023;"{""type"": ""Point"", ""coordinates"": [2.340934000374987, 48.882023999953695]}";48.882024,2.34093400037
4321;2019-1300;quai de bourbon, 75004 paris;75004;2.3537748;48.85348;"{""type"": ""Point"", ""coordinates"": [2.353774709922935, 48.85348112012813]}";48.8534811201,2.35377470992
4322;2016-1920;4/6  rue  pierre mouillard;75020;2.408001;48.867325;"{""type"": ""Point"", ""coordinates"": [2.408001000085725, 48.867323000221305]}";48.8673230002,2.40800100009
