key_realisateur;key_film;AUTEUR
954;8819;eric judor
955;;miyazaki, hayao
956;;leclere, alexandra
957;;mayer, michael
958;;smith, simon j.
959;;clements, ron
960;;rappeneau, jean-paul
961;;comencini, luigi
962;;trevorrow, colin
963;;howard, ron
964;;zep
965;;karukoski, dome
966;;bedos, nicolas
967;8667;eva husson
968;;rourke, josie
969;4382;nathalie marchak
970;8766;julien hallard
971;;clermont-tonnerre, laure de
972;8719;dominique farrugia
973;7585;elsa bennett hippolyte dard
974;;richet, jean-francois
975;4946;marion vernoux
976;;fleischer, ruben
977;6758;judith davis
978;8676;maiwenn
979;2856;antonin delaroche-vernet
980;5149;emma de caunes
981;;butler, chris
982;;becker, jean
983;;fieschi, jacques
984;;baek-yeop, sung
985;;walter, anders
986;7664;michel denisot
987;;bonello, bertrand
988;8825;jeremie renier
989;;bourboulon, martin
990;;le guay, philippe
991;8311;maryel devera
992;;russo, joe
993;; charlotte armstrong, aut. adapte 
994;;dercourt, denis
995;8351;nicolas silhol
996;8288;dany boon
997;;benioff, david
998;;espigares, alexandre
999;4313;michael marie
1000;;riklis, eran
1001;8546;huo jianqi
1002;7427;shujaat saudagar
1003;7927;antonin peretjatko
1004;;blossier, antoine.
1005;;langmann, thomas
1006;8777;maxime govare
1007;;de vita, christian
1008;;hill, tim
1009;3685;nicolas cuche
1010;;hakonarson, grimur
1011;;cortes, rodrigo
1012;8808;july hygreck
1013;8646;marilou berry
1014;3640;romuald boulanger
1015;8548;sandrine dumas
1016;7883;thibaud martin
1017;;johnson, rian
1018;4613;akim isker
1019;7336;hector cabello reyes
1020;7856;thierry binisti
1021;;godeau, philippe
1022;8704;mahamat-saleh haroun
1023;8035;hugo blick
1024;5237;jacques doillon
1025;;doillon, jacques
1026;2995;virginie saveur
1027;;chaye, remi
1028;;wayans, keenen ivory
1029;;lucas, george
1030;;campillo, robin
1031;;valette, eric
1032;;scafaria, lorene.
1033;8866;tien-jen huang
1034;7651;dan sackheim
1035;;debbouze, jamel
1036;6628;pascal bourdiaux
1037;;sohn, peter
1038;;bellocchio, marco.
1039;;egoyan, atom
1040;8159;gilles legrand
1041;8674;charlotte schi0ler
1042;;murphy, ryan
1043;;rintaro
1044;;dupontel, albert
1045;7175;prentice penny
1046;8191;walter veltroni
1047;8587;pierre andre lhomme
1048;;jenson, vicky
1049;8878;novemie lvovsky
1050;;beauvois, xavier
1051;;chandor, j.c.
1052;7111;andy mogel
1053;7111;jarrad paul
1054;;laguionie, jean-frandcois
1055;7360;stephanie murat
1056;;levinson, barry
1057;8860;emily mortimer
1058;;norton, edward
1059;;vallee, jean-marc
1060;1689;pierre salvadori
1061;;forbes, maya
1062;3190;franck magnier
1063;8472;carine tardieu
1064;;alfredson, tomas
1065;;lartigau, eric
1066;;mcteigue, james
1067;6064;mathias pardo
1068;;jacobsen, esben toft
1069;;carriere, christine
1070;;kurtzman, alex
1071;;schmitt, eric-emmanuel
1072;;kusturica, emir
1073;;salle, jerome
1074;6223;david hourregue
1075;;delaporte, matthieu
1076;6238;philippe larue
1077;;rodriguez, robert
1078;;mayer, zoltan
1079;6163;matt hastings
1080;3273;valeria bruni tedeschi
1081;5825;julien hosmalin
1082;5825;lionel mougin
1083;;desagnat, francois
1084;;russell, jay
1085;;leconte, patrice
1086;8102;bruno chiche
1087;;bobin, james
1088;8849;james foley
1089;;jacquot, benoit
1090;8516;simon bouisson
1091;8868;virginie verrier
1092;;petzold, christian
1093;8621;audrey diwan
1094;;bluth, don
1095;1416;maxime roy
1096;7937;jan kounen
1097;8536;alexandra leclere
1098;;miller, tim
1099;;mouscadet, jerome
1100;8513;didier philippe
1101;598;matthieu longatte
1102;1823;aritz moreno
1103;7599;camille delamarre
1104;7599;franck brett
1105;;samuell, yann
1106;;templeton, suzie
1107;;pariser, nicolas
1108;;lord, peter
1109;;king, paul
1110;1188;robert guediguian
1111;;yoshiura, yasuhiro
1112;;gannaway, robert
1113;;roby, daniel
1114;;ozon, frandcois
1115;184;gabriel le bomin
1116;8608;li lu
1117;4718;chris briant
1118;;ficarra, glenn.
1119;;stevenson, robert
1120;8559;julian schnabel
1121;;kurosawa, kiyoshi
1122;;luhrmann, baz
1123;;di giusto, staephanie
1124;;lellouche, gilles
1125;5420;maxime charden, laurene dervieux
1126;;trank, josh
1127;;berla, stephane
1128;7541;willy biondani
1129;8534;sergi portabella
1130;;wiseman, len
1131;7498;franck ribiere
1132;3463;ben
1133;;farhadi, asghar
1134;4889;cedric klapisch
1135;;burger, neil
1136;;affleck, ben
1137;;estibal, sylvain
1138;;antin, juan
1139;;serraille, laeonor
1140;;rouby, simon
1141;;crowley, john
1142;;zwart, harald
1143;;davies, terence
1144;;waters, mark
1145;;mitchell, mike
1146;;annable, graham
1147;;winterbottom, michael
1148;;barbier, eric
1149;;crowe, cameron
1150;2893;yvan attal
1151;;robelin, stephane
1152;7712;stevan lee mraovitch
1153;;lateste, eddie
1154;5190;tristan aurouet thomas bidegain marc fitoussi cyril gelblat vianney lebasque
1155;;sonnenfeld, barry
1156;6662;santiago mitre
1157;5260;arnaud viard
1158;;meier, ursula
1159;;coulin, muriel
1160;;penn, sean
1161;4712;manuel laurent
1162;4712;anouar el alami
